group,collection_name,collection_no,cc,state,early_interval,min_ma,max_ma,paleolng,paleolat,n_occs
amniote,Taylor County Site 7 (Pelecypods),67737,US,Texas,Kungurian,272.3,279.3,-30.15,0.6,1
amniote,Richards Spur,67862,US,Oklahoma,Leonard,268,290.1,-28.89,0.32,26
amniote,South Grandfield,67945,US,Oklahoma,Kungurian,272.3,279.3,-28.41,1.95,5
amniote,Southwest of Abilene,68171,US,Texas,Kungurian,272.3,279.3,-29.97,0.86,1
amniote,Hamilton Quarry,68427,US,Kansas,Virgilian,298.9,303.4,-26.91,-0.1,4
amniote,"""Copper Shept""",71671,US,Texas,Artinskian,272.3,290.1,-30.29,-0.93,1
amniote,Locality KS (Upper San Angelo Fm.),78559,US,Texas,Kungurian,268.8,279.3,-28.76,3.34,3
amniote,Archer City Bonebed 1 (Putnam Fm.),79162,US,Texas,Wolfcamp,268,296.4,-30.06,-1.27,7
amniote,"Gorki village, PIN 1156",79166,RU,Kirov,Ufimian,268,279.5,43.55,27.04,1
amniote,"Orlando site, Noble Co. (Wellington Fm.)",79402,US,Oklahoma,Artinskian,279.3,290.1,-27.83,0.34,4
amniote,"Perry site 6, bed 21",79408,US,Oklahoma,Leonard,268,290.1,-27.41,1.27,1
amniote,Norman,79531,US,Oklahoma,Kungurian,272.3,279.3,-26.9,2.21,2
amniote,Locality KAC (Lower Flowerpot Shale),79600,US,Texas,Kungurian,268.8,279.3,-28.81,3.3,9
amniote,Locality FA - Pipe Site,79601,US,Texas,Leonard,268,290.1,-30.21,0,2
amniote,Crescent,79602,US,Oklahoma,Kungurian,272.3,279.3,-26.67,2.98,2
amniote,"Locality HA (""Lower San Angelo Fm."")",79694,US,Texas,Kungurian,268.8,279.3,-28.44,3.59,4
amniote,McCann Quarry,79815,US,Oklahoma,Leonard,268,290.1,-27.2,1.6,4
amniote,Locality KZ (Upper San Angelo Fm.),80014,US,Texas,Kungurian,268.8,279.3,-28.83,3.26,1
amniote,"Shikhovo-Chirki, PIN 161",80022,RU,Kirov,Ufimian,268,279.5,41.78,28.25,2
amniote,Locality KD,12976,US,Texas,Kungurian,272.3,279.3,-29.23,1.88,4
amniote,Locality KI (Upper Vale Formation),27705,US,Texas,Kungurian,272.3,279.3,-29.21,1.89,2
amniote,Organ Rock Shale,80110,US,Utah,Wolfcamp,268,296.4,-35.74,6.88,3
amniote,Dominion Coal Co. strip mine No. 7,80111,CA,Nova Scotia,Westphalian C,306.95,314.6,-3.96,-8.17,4
amniote,Locality FC (Middle Choza Fm.),80574,US,Texas,Leonard,268,290.1,-30.24,0.07,1
amniote,Saint-Christophe-Vallon,80576,FR,Aveyron,Sakmarian,254.17,295.5,19.6,3.43,2
amniote,Navina,80578,US,Oklahoma,Kungurian,272.3,279.3,-26.67,2.8,1
amniote,Locality KX (Upper San Angelo Fm.),80668,US,Texas,Kungurian,268.8,279.3,-28.82,3.26,1
amniote,Locality KR (Upper San Angelo Fm.),80669,US,Texas,Kungurian,268.8,279.3,-28.77,3.34,4
amniote,Santagulov Mine,80688,RU,Bashkortostan,Ufimian,268,279.5,47.55,26.12,1
amniote,Locality KV (San Angelo Fm.),80689,US,Texas,Kungurian,268.8,279.3,-28.81,3.33,5
amniote,Maybelle,80690,US,Texas,Leonard,268,290.1,-29.99,-0.3,2
amniote,Danville Locality (Vertebrates),80714,US,Illinois,Missourian,303.4,305.9,-21.51,-3.52,7
amniote,Igornay,80716,FR,Bourgogne,Stephanian,298.9,306.95,17.05,0.37,1
amniote,"Locality 6, near Cameron",80720,US,Ohio,Asselian,290.1,298.9,-14.93,-2.65,1
amniote,southeast of Windthorst,80723,US,Texas,Wolfcamp,268,296.4,-29.92,-1.37,1
amniote,Wildcat Canyon,80732,US,Kansas,Sakmarian,279.3,295.5,-27.04,1.08,1
